Id;Nome;Latitude;Longitude
9962;Santa Rita do Sapucai;-22,2836;-45,727
8921;Santa Rita do Sapucai;-22,1956;-45,7513
11389;Santa Rita do Sapucai;-22,164;-45,7419
10361;Santa Rita do Sapucai;-22,3557;-45,9172
9385;Santa Rita do Sapucai;-22,2194;-45,745
9507;Santa Rita do Sapucai;-22,2199;-45,7117
10401;Santa Rita do Sapucai;-22,1899;-45,7789
9948;Santa Rita do Sapucai;-22,2481;-45,7548
9981;Santa Rita do Sapucai;-22,2646;-45,8157
9331;Santa Rita do Sapucaí;-22,6048;-46,0655
9774;Santa Rita do Sapucaí;-22,2116;-45,7612
11272;Santa Rita do Sapucaí;-22,2663;-45,7496
9819;Santa Rita do Sapucaí;-22,2045;-45,7444
9359;Santa Rita do Sapucaí;-22,1941;-45,7306
11705;Santa rita;-22,2547;-45,8298
11099;Santaninha;-17,7651;-41,3211
11405;Santaninha 2;-17,8004;-41,315
8915;Sao Lourenco - Fazenda Santa Helena;-22,0941;-45,0752
9341;Sao Lourenco - Fazenda Santa Helena;-22,1008;-45,0817
10150;Sao Lourenco - Fazenda Santa Helena;-22,1168;-45,0915
