;ID_voo;Data;kmOLC;Pontuacao_OLC;local_voo;duracao;Espaco_aereo;Piloto;Categoria;Vela;Data_Coleta;Voo_data_valido;Voo_rampa_valida
1629;611137;18/06/2022;6.4;9.66;Santa Teresa ;0:52;False;Luiz Furbino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
1630;678750;12/10/2022;6.4;9.65;Santa Teresa ;0:53;False;Luiz Felipe Peruchi;Sport Lite;Sol - Atmus 2;2023-04-16;False;True
1631;584903;05/03/2022;6.4;9.65;Santa Teresa ;0:20;False;Helio Lima;Sport Lite;Skywalk - Chili 4;2023-04-16;False;True
1632;391294;20/04/2019;6.4;9.64;Alfredo Chaves ;1:20;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1633;585183;05/03/2022;6.4;9.63;RICO BRITTO MONTES CLAROS ;0:39;False;Ruy Coelho ;Open;Niviuk - Evox;2023-04-16;False;True
1634;405955;14/07/2019;5.5;9.63;Pancas ;1:06;False;Aloisio de Almeida ;Sport Lite;Sol - Sycross;2023-04-16;False;True
1635;678747;10/09/2022;6.4;9.6;Santa Teresa ;0:29;False;Luiz Felipe Peruchi;Sport Lite;Sol - Atmus 2;2023-04-16;False;True
1636;533403;31/07/2021;6.4;9.55;Itabira ;1:04;False;Leandro Patricio ;Open;Ozone - Enzo 3;2023-04-16;False;True
1637;669277;22/02/2023;4.8;9.53;Rampa de Lajinha do Pancas ;1:19;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;True;True
1638;625878;07/08/2022;6.3;9.52;Rampa do Areado ;1:17;False;Helicei Freitas;Sport Lite;Up - Ascent 2;2023-04-16;False;True
1639;634416;08/09/2022;6.3;9.51;Alfredo Chaves ;0:52;False;Eucleber Ferreira;Open;Sol - LT 1;2023-04-16;False;True
1640;651190;28/05/2022;6.3;9.5;Alfredo Chaves ;0:09;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;True
1641;646312;06/11/2022;6.3;9.49;Itabira ;0:46;False;Leandro Patricio ;Open;Ozone - Enzo 3;2023-04-16;False;True
1642;520310;03/06/2021;6.3;9.46;Rampa do Caf;0:45;False;Aloisio de Almeida ;Sport Lite;Sol - Sycross;2023-04-16;False;True
1643;400525;13/07/2019;6.3;9.43;Rampa de Ub;0:20;False;Petterson Mareto;Sport;Ozone - Delta 2;2023-04-16;False;True
1644;651208;21/09/2022;6.3;9.4;Rampa de Cachoeira Alta ;0:17;False;Daniel Trevezani ;Sport;Gin - Bonanza 2 ;2023-04-16;False;False
1645;666409;11/02/2023;5.3;9.33;Pancas ;0:37;False;Mateus Haase;Sport Lite;Niviuk - Ikuma;2023-04-16;True;True
1646;439644;19/04/2020;6.2;9.33;Apeninos ;0:15;False;Petterson Mareto;Sport;Ozone - Delta 2;2023-04-16;False;True
1647;607664;03/06/2022;6.2;9.33;Afonso Claudio ;0:38;False;Leomar Guilherme ;Open;Sol - LT 1;2023-04-16;False;True
1648;667213;11/02/2023;5.3;9.29;Pancas ;0:36;False;Higor Penitenti ;Sport Lite;Ozone - Rush 5;2023-04-16;True;True
1649;599365;22/08/2021;4.6;9.28;Km ;0:21;False;Bruno Mazzei;Sport;Phi - Allegro Light;2023-04-16;False;True
